"edges","triangles","mean_triangles","density","mean_degree","components","mean_component_size","global_clustering_coefficient"
288,7,0.0032951514200533502,1.4184133096812914e-5,0.09038129609289189,6096,1.0454396325459319,0.007608695652173913
518,12,0.005648831005805743,2.551173938940656e-5,0.1625608033892986,5877,1.084396801088991,0.0021164021164021165
250,1,0.00047073591715047857,1.2312615535427877e-5,0.07845598619174643,6125,1.0404897959183674,0.0006718924972004479
484,10,0.004707359171504786,2.383722367658837e-5,0.15189078926722108,5904,1.0794376693766938,0.00275583318023149
466,7,0.0032951514200533502,2.2950715358037562e-5,0.14624195826141534,5919,1.0767021456327082,0.0036256906077348065
489,14,0.0065903028401067005,2.4083475987296927e-5,0.15345990899105602,5913,1.0777946896668358,0.0041452822739834186
277,1,0.00047073591715047857,1.3642378013254087e-5,0.08692923270045505,6105,1.043898443898444,0.0008718395815170009
241,4,0.0018829436686019143,1.1869361376152473e-5,0.07563157068884356,6138,1.0382860866731833,0.004780876494023904
129,5,0.002353679585752393,6.353309616280785e-6,0.04048328887494116,6258,1.0183764781080218,0.01953125
142,20,0.009414718343009571,6.993565624123034e-6,0.044563000156911975,6254,1.019027822193796,0.028288543140028287
397,15,0.007061038757257178,1.9552433470259468e-5,0.12458810607249333,6012,1.0600465735196274,0.004553273297581706
504,11,0.005178095088655264,2.48222329194226e-5,0.1581672681625608,5892,1.0816361167684996,0.00586145648312611
173,0,0.0,8.52032995051609e-6,0.05429154244468853,6201,1.027737461699726,0.0
428,23,0.010826926094461007,2.1079197796652523e-5,0.13431664836026988,6008,1.0607523302263648,0.012653585182468365
178,3,0.0014122077514514358,8.766582261224648e-6,0.05586066216852346,6199,1.0280690433940958,0.003789473684210526
72,0,0.0,3.5460332742032284e-6,0.022595324023222972,6301,1.0114267576575147,0.0
467,19,0.008943982425859092,2.2999965820179273e-5,0.14655578220618234,5948,1.0714525891055817,0.009542943244600702
108,3,0.0014122077514514358,5.319049911304843e-6,0.033892986034834455,6269,1.016589567714149,0.009473684210526316
393,9,0.004236623254354307,1.935543162169262e-5,0.12333281029342538,5998,1.0625208402800934,0.0018873200055920592
272,3,0.0014122077514514358,1.339612570254553e-5,0.08536011297662012,6105,1.043898443898444,0.0016737957969127767
488,12,0.005648831005805743,2.4034225525155216e-5,0.15314608504628904,5904,1.0794376693766938,0.001888772298006296
353,8,0.0037658873372038285,1.738541313602416e-5,0.11077985250274595,6044,1.0544341495698213,0.0029585798816568047
502,24,0.011297662011611486,2.4723731995139175e-5,0.15753962027302684,5907,1.0788894531911293,0.00424678541937006
277,5,0.002353679585752393,1.3642378013254087e-5,0.08692923270045505,6103,1.044240537440603,0.004056246619794483
291,8,0.0037658873372038285,1.4331884483238048e-5,0.09132276792719285,6109,1.0432149287935832,0.0064917500676223965
758,17,0.008002510591558137,3.733185030341732e-5,0.23787855013337517,5653,1.1273660003537944,0.0023672484218343853
455,11,0.005178095088655264,2.2408960274478735e-5,0.1427898948689785,5936,1.0736185983827493,0.0028219599794766545
166,8,0.0037658873372038285,8.17557671552411e-6,0.05209477483131963,6215,1.025422365245374,0.008105369807497468
171,22,0.010356190177310529,8.421829026232667e-6,0.05366389455515456,6225,1.0237751004016065,0.03642384105960265
182,7,0.0032951514200533502,8.963584109791494e-6,0.0571159579475914,6205,1.027074939564867,0.012027491408934709
257,2,0.0009414718343009571,1.2657368770419857e-5,0.08065275380511533,6122,1.040999673309376,0.0008396305625524769
642,17,0.008002510591558137,3.161879669497879e-5,0.20147497254040483,5767,1.1050806311773886,0.0029481472917509684
273,1,0.00047073591715047857,1.3445376164687241e-5,0.0856739369213871,6101,1.044582855269628,0.0006109979633401223
251,2,0.0009414718343009571,1.2361865997569588e-5,0.07876981013651342,6127,1.0401501550514118,0.0009468202619536059
699,16,0.007531774674407657,3.442607303705634e-5,0.219362937392123,5717,1.1147454958894525,0.003356408642752255
517,11,0.005178095088655264,2.546248892726485e-5,0.16224697944453162,5870,1.0856899488926746,0.0033292978208232446
263,5,0.002353679585752393,1.2952871543270125e-5,0.08253569747371725,6117,1.0418505803498448,0.00584339696143358
296,4,0.0018829436686019143,1.4578136793946606e-5,0.09289188765102778,6090,1.0464696223316914,0.0015894039735099338
184,3,0.0014122077514514358,9.062085034074917e-6,0.05774360583712537,6193,1.0290650734700468,0.006160164271047228
383,3,0.0014122077514514358,1.886292700027551e-5,0.12019457084575554,5998,1.0625208402800934,0.0007766655160510873
280,6,0.0028244155029028715,1.3790129399679221e-5,0.087870704534756,6111,1.0428735067910326,0.007982261640798226
274,7,0.0032951514200533502,1.3494626626828952e-5,0.08598776086615409,6109,1.0432149287935832,0.00717458148274684
416,5,0.002353679585752393,2.0488192250951986e-5,0.13055076102306606,5970,1.06750418760469,0.0007165719199350308
411,13,0.006119566922956222,2.0241939940243428e-5,0.12898164129923112,6000,1.0621666666666667,0.00799671929464835
554,15,0.007061038757257178,2.7284756026508174e-5,0.1738584654009101,5859,1.0877282812766684,0.004150525733259546
345,6,0.0028244155029028715,1.699140943889047e-5,0.10826926094461008,6047,1.0539110302629402,0.005291005291005291
146,3,0.0014122077514514358,7.19056747268988e-6,0.045818295935979914,6233,1.0224610941761592,0.004178272980501393
415,10,0.004707359171504786,2.0438941788810275e-5,0.1302369370782991,5973,1.0669680227691278,0.0026490066225165563
302,7,0.0032951514200533502,1.4873639566796875e-5,0.09477483131962969,6082,1.047846103255508,0.002308960967564596
